Participant	Age	Gender	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
1	19	M	4	2	4	3	3	2	1	3	5	4	2	4	1	3	3	4	3	5	3	5	1	2	3	4	2	2	2	3	5	2	3	5	1	5	2
2	27	F	5	2	3	3	4	3	1	2	5	5	2	5	3	5	2	2	3	5	2	5	1	4	2	4	3	1	4	2	2	1	3	5	5	5	1
3	26	F	5	3	4	4	4	4	3	4	5	4	4	5	4	5	4	4	5	5	5	5	4	5	4	5	4	3	5	4	4	2	4	5	5	5	1
4	23	F	5	4	5	5	5	5	3	4	5	5	4	5	3	5	5	5	5	5	5	5	1	5	4	5	4	1	5	5	5	3	5	5	5	5	1
5	20	M	5	1	5	2	5	3	5	1	5	5	1	4	2	5	2	2	4	5	4	4	1	5	1	5	4	1	4	3	3	2	1	5	5	5	1
6	25	F	5	3	4	4	4	3	2	2	5	4	1	4	1	3	3	2	4	5	4	4	1	3	1	3	2	1	2	2	3	1	4	5	4	4	1
7	24	F	5	2	5	3	5	4	1	2	5	5	2	4	1	5	3	4	3	5	5	5	2	4	2	5	2	1	3	2	4	2	4	5	5	5	2
8	21	F	5	2	5	2	5	2	3	1	5	3	1	5	2	5	3	2	3	5	5	5	2	5	2	5	2	2	4	2	5	2	5	5	5	5	2
9	22	F	3	2	3	4	4	3	1	2	4	4	2	4	1	4	3	2	3	5	4	5	1	2	2	4	2	1	1	3	3	2	3	5	3	5	4
10	23	F	5	3	5	3	3	3	5	4	4	5	4	2	3	5	3	4	3	5	3	4	1	1	3	4	2	1	1	4	4	1	3	5	4	5	1
11	21	F	4	1	3	3	4	3	2	1	3	4	2	4	2	3	2	2	2	4	3	3	1	2	2	3	2	1	2	2	2	2	3	4	3	4	4
12	17	M	5	3	5	5	5	5	5	3	5	5	2	5	2	5	3	5	4	5	4	5	3	5	3	4	3	1	5	4	5	4	4	5	5	5	1
13	21	F	5	5	5	5	5	5	2	5	5	5	4	5	2	5	5	5	5	5	5	5	1	2	5	5	4	1	5	4	5	1	5	5	5	5	1
14	26	M	5	3	5	3	5	4	1	2	5	5	2	5	1	5	2	3	5	5	5	5	1	5	2	5	3	1	5	1	2	1	3	5	5	5	1
15	21	F	5	3	4	4	5	4	2	3	5	5	1	5	2	5	3	3	5	5	5	5	1	5	3	5	3	1	4	4	4	2	4	5	5	5	1
16	18	F	5	5	5	4	5	5	2	5	5	5	5	5	5	5	4	5	5	5	5	5	2	4	5	5	5	3	4	5	5	5	5	5	5	5	3
17	21	M	5	2	5	4	5	5	3	5	5	5	3	5	3	5	3	4	5	5	4	5	1	4	4	5	3	1	2	4	5	3	5	5	5	5	1
18	21	F	4	1	5	2	3	3	2	2	5	3	2	4	1	3	2	2	3	5	3	2	1	5	2	3	2	1	5	2	3	1	2	5	5	5	1
19	46	F	5	3	5	3	5	3	2	3	5	3	2	4	5	5	4	3	4	5	4	5	5	5	3	4	2	1	5	4	4	2	4	5	5	5	1
20	19	F	5	3	5	4	5	4	1	1	5	5	1	5	1	5	3	5	5	5	5	5	1	5	2	5	3	1	5	5	5	1	5	5	5	5	1
21	32	F	5	2	4	5	5	5	3	2	5	5	1	5	3	5	5	2	5	5	5	5	1	5	4	5	5	1	1	5	5	1	5	5	5	5	1
22	23	F	5	2	4	3	5	3	1	4	5	5	2	5	2	5	5	2	4	5	5	5	1	5	4	5	3	1	5	3	4	2	4	5	5	5	1
23	20	F	4	2	5	2	4	2	1	2	2	3	2	5	1	2	2	2	1	5	5	5	1	5	2	5	2	1	5	1	3	1	2	5	5	5	5
24	21	M	5	1	5	3	4	4	2	2	5	5	1	5	3	5	4	3	5	5	5	5	1	1	2	4	1	1	1	3	5	1	4	5	5	5	1
25	24	F	5	2	4	2	5	2	5	3	4	5	2	5	3	5	5	3	4	5	4	5	2	2	2	3	2	1	1	2	2	2	5	5	1	5	1
26	21	M	4	1	5	3	5	4	3	2	5	5	2	5	3	5	2	2	5	5	5	4	5	5	2	5	2	1	5	3	5	2	5	5	5	5	1
27	26	F	5	4	5	4	5	5	2	1	5	5	2	5	1	5	5	2	5	5	5	5	1	5	3	5	1	1	3	3	5	2	5	5	5	5	5
28	20	M	3	2	4	3	4	3	1	3	5	4	2	5	1	4	2	3	4	5	4	3	1	1	4	4	1	1	1	2	3	3	4	5	1	5	1
29	21	M	5	5	5	3	5	5	2	4	5	5	2	5	2	5	5	2	5	5	5	2	1	1	2	3	3	1	2	3	4	2	5	5	5	5	1
30	25	M	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
31	20	F	4	2	4	2	5	3	2	2	5	3	2	4	2	4	2	2	4	5	4	5	1	1	2	3	2	1	1	1	4	2	2	5	5	2	1
32	48	F	4	2	5	5	5	5	4	1	5	5	1	5	3	5	2	2	5	5	5	5	1	1	1	5	1	1	1	4	5	2	4	5	5	5	1
33	60	F	5	3	1	3	5	3	3	3	1	5	2	5	5	3	3	5	3	5	5	5	1	1	3	3	3	1	1	3	3	1	3	5	1	5	1
34	21	M	5	3	4	4	5	3	2	3	5	4	1	5	4	5	4	1	2	5	5	5	1	2	2	4	3	1	2	1	2	2	4	5	4	5	1
